㐀	21{卢字头}1
㣛	彳亼口
㣜	彳1廾刂
㣝	彳戈{左字框}
㣞	彳八厶儿
㣟	彳士口
㣠	彳2夂{冬字底}
㣡	彳亻口2
㣢	彳丷{弟省}
㣣	彳大入入
㣤	彳戈戈
㣥	彳亻土寸
㣦	彳禾女
㣧	彳幺{青字底}5
㣨	彳女古
㣩	彳木木
㣪	彳爫1又
㣫	彳千里
㣬	彳口耳
㣭	彳乂凵夂
㣮	彳十冂{南字心}
㣯	彳尸{尚字头}{青字底}
㣰	彳3米心
㣱	彳龶貝
㣲	{微字框}口
㣳	彳{卧人}卌灬
㣴	彳廿1八
㣵	彳土羊辶
㣶	彳亠囗1
㣷	彳宀心丁
㣸	彳业{豕省}生
